Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	58834.17	58849.49	-15.31206	428021.5	12.02326	0.998058	0.999503	1.0005	1.00194	4.579273
10	59317.15	59340.9	-23.74501	304202.4	7.41944	0.997696	0.99941	1.00059	1.00231	5.36318
20	136231.2	136259.5	-28.31948	152195.3	9.198132	0.996744	0.999166	1.00083	1.00326	5.976243
30	136246.9	136277.5	-30.60769	250548	7.845398	0.997462	0.99935	1.00065	1.00254	6.298761
40	136265.9	136291.5	-25.60216	298751.6	9.729723	0.997675	0.999405	1.00059	1.00233	5.654021
50	136245.2	136281.9	-36.7345	323976.6	6.459578	0.997768	0.999429	1.00057	1.00223	7.106925
60	136431.2	136464	-32.76329	784814.1	8.555303	0.998566	0.999633	1.00037	1.00144	6.52785
70	136424	136453.3	-29.25118	784814.1	6.954136	0.998566	0.999633	1.00037	1.00144	6.052212
80	136423.8	136455.7	-31.90394	784814.1	6.836747	0.998566	0.999633	1.00037	1.00144	6.420581
90	136419.4	136455.7	-36.34689	784814.1	6.461863	0.998566	0.999633	1.00037	1.00144	7.047149
100	136424.5	136464.4	-39.89554	983869.8	7.141216	0.998719	0.999672	1.00033	1.00128	7.568561
110	136437.1	136468.4	-31.32616	717589.1	7.202061	0.9985	0.999616	1.00038	1.0015	6.373157
120	136440.5	136477.4	-36.921	674895.3	7.001074	0.998453	0.999604	1.00039	1.00155	7.154819
130	136417	136460.4	-43.43339	813440.6	6.096982	0.998591	0.99964	1.00036	1.00141	8.156966
140	136428.1	136465.1	-37.05018	813440.6	6.802819	0.998591	0.99964	1.00036	1.00141	7.172791
150	136447.9	136483.9	-36.01759	813440.6	7.482272	0.998591	0.99964	1.00036	1.00141	7.014165
160	136449.3	136485.1	-35.79276	813440.6	8.065338	0.998591	0.99964	1.00036	1.00141	6.939256
170	136436.2	136474.3	-38.06644	813440.6	8.799256	0.998591	0.99964	1.00036	1.00141	7.106965
